ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
19,null,CNNVD-201907-975,CVE-2019-2811,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95011 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-975,2019-08-16
20,null,CNNVD-201907-974,CVE-2019-2822,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95010 ,Oracle MySQL Server组件输入验证错误漏洞,高危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-974,2019-07-25
21,null,CNNVD-201907-973,CVE-2019-2815,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95009 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-973,2019-08-16
22,null,CNNVD-201907-972,CVE-2019-2826,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95008 ,Oracle MySQL Server组件输入验证错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-972,2019-08-16
23,null,CNNVD-201907-971,CVE-2019-2834,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95007 ,Oracle MySQL Server组件输入验证错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-971,2019-08-16
24,null,CNNVD-201907-970,CVE-2019-2830,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95006 ,Oracle MySQL Server组件输入验证错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-970,2019-08-16
25,null,CNNVD-201907-968,CVE-2019-2879,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95004 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-968,2019-08-16
26,null,CNNVD-201907-956,CVE-2019-2731,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94993 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-956,2019-07-26
27,null,CNNVD-201907-951,CVE-2019-2798,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94988 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-951,2019-08-16
28,null,CNNVD-201907-950,CVE-2019-2755,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94987 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-950,2019-08-16
29,null,CNNVD-201907-949,CVE-2019-2730,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94986 ,Oracle MySQL Server组件访问控制错误漏洞,低危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-949,2019-07-26
30,null,CNNVD-201907-935,CVE-2019-2746,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94972 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-935,2019-07-26
31,null,CNNVD-201907-934,CVE-2019-2743,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94971 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-934,2019-07-26
32,null,CNNVD-201907-931,CVE-2019-2747,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94968 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-931,2019-07-26
33,null,CNNVD-201907-916,CVE-2019-2737,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94953 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-916,2019-08-16
34,null,CNNVD-201907-915,CVE-2019-2738,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94952 ,Oracle MySQL Server组件访问控制错误漏洞,低危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-915,2019-08-16
35,null,CNNVD-201907-914,CVE-2019-2805,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94951 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-914,2019-08-14
36,null,CNNVD-201907-913,CVE-2019-2740,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94950 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-913,2019-08-16
37,null,CNNVD-201907-912,CVE-2019-2819,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94949 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-912,2019-08-16
38,null,CNNVD-201907-911,CVE-2019-2739,Oracle MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94948 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-911,2019-08-14
39,null,CNNVD-201907-907,CVE-2019-2758,Oracle MySQL MySQL Server组件安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94944 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-907,2019-08-16
40,null,CNNVD-201907-905,CVE-2019-2791,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94942 ,Oracle MySQL Server组件访问控制错误漏洞,低危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-905,2019-07-26
41,null,CNNVD-201907-904,CVE-2019-2778,Oracle MySQL Server 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=94941 ,Oracle MySQL Server组件访问控制错误漏洞,中危,MySql,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-904,2019-08-16
