ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
1,null,CNNVD-201905-954,CVE-2019-0201,Apache Zookeeper 信息泄露漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=92910 ,Apache Zookeeper 授权问题漏洞,中危,Apache zookeeper,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201905-954,2019-07-22
2,Apache Zookeeper:- Apache Zookeeper:3.4.0 Apache Zookeeper:3.4.1 Apache Zookeeper:3.4.2 Apache Zookeeper:3.4.3 ,CNNVD-201805-694,CVE-2018-8012,Apache ZooKeeper 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=83600 ,Apache ZooKeeper 安全漏洞,,Apache zookeeper,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201805-694,2019-04-01
3,Debian Debian_linux:8.0 ,CNNVD-201706-048,CVE-2017-5637,Apache Zookeeper 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=70741 ,Apache Zookeeper 安全漏洞,中危,Apache zookeeper,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201706-048,2017-10-13
4,Apache Zookeeper:3.5.0 Apache Zookeeper:3.5.1 Apache Zookeeper:3.5.2 Apache Zookeeper:3.4.8 ,CNNVD-201609-425,CVE-2016-5017,Apache Zookeeper 缓冲区溢出漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=64219 ,Apache Zookeeper 缓冲区溢出漏洞,中危,Apache zookeeper,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201609-425,2016-09-22
5,Apache Zookeeper:- Redhat Jboss_fuse:6.0.0 Redhat Jboss_a-Mq:6.0.0 ,CNNVD-201404-360,CVE-2014-0085,jboss-a-mq-6.1.0.redhat-379 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=49398 ,Apache Zookeeper 信任管理漏洞,低危,Apache zookeeper,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201404-360,2014-04-22
