ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
1,null,CNNVD-201907-685,CVE-2018-17196,Apache Kafka 输入验证错误漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95219 ,Apache Kafka 输入验证错误漏洞,高危,Apache kafka,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-685,2019-08-05
2,null,CNNVD-201811-111,CVE-2018-12413,TIBCO Messaging - Apache Kafka Distribution - Schema Repository 跨站请求伪造漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=86623 ,TIBCO Messaging - Apache Kafka Distribution - Schema Repository 跨站请求伪造漏洞,,Apache kafka,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201811-111,2019-02-13
3,Apache Kafka:1.0.0 Apache Kafka:0.11.0.2 Apache Kafka:0.11.0.1 Apache Kafka:0.11.0.0 Apache Kafka:0.10.2.1 ,CNNVD-201807-1905,CVE-2018-1288,Apache Kafka 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=82649 ,Apache Kafka 安全漏洞,中危,Apache kafka,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-1905,2019-08-05
4,Apache Kafka:0.11.0.1 Apache Kafka:0.11.0.0 Apache Kafka:0.10.2.1 Apache Kafka:0.10.2.0 Apache Kafka:0.10.1.1 ,CNNVD-201708-308,CVE-2017-12610,,,Apache Kafka 授权问题漏洞,中危,Apache kafka,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201708-308,2018-10-31
