ID,AFFECTED_VERSION,CNNVD_ID,CVE_ID,PATCHES,PATCHES_LINKS,TITLE,LEVEL,vun_type,URL,Update_Time
1,null,CNNVD-201907-1349,CVE-2019-0202,Apache Storm 信息泄露漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95496 ,Apache Storm 信息泄露漏洞,高危,Apache storm,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-1349,2019-08-08
2,null,CNNVD-201907-1348,CVE-2018-11779,Apache Storm 代码问题漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=95495 ,Apache Storm 代码问题漏洞,超危,Apache storm,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201907-1348,2019-08-07
3,Apache Storm:1.0.3 Apache Storm:1.0.2 Apache Storm:1.0.1 ,CNNVD-201807-938,CVE-2018-1331,Apache Storm 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=84024 ,Apache Storm 安全漏洞,中危,Apache storm,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201807-938,2018-08-09
4,Apache Storm:1.2.1 Apache Storm:1.1.2 Apache Storm:1.0.6 ,CNNVD-201806-319,CVE-2018-1332,Apache Storm 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=80675 ,Apache Storm 安全漏洞,中危,Apache storm,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201806-319,2018-06-06
5,Pivotal_software Spring_integration_zip:1.0.6 Pivotal_software Spring_integration_zip:1.2.1 Pivotal_software Spring_integration_zip:1.1.2 Apache Storm:1.0.6 Apache Storm:1.1.2 ,CNNVD-201806-318,CVE-2018-8008,Apache Storm 安全漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=80674 ,Apache Storm 安全漏洞,中危,Apache storm,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201806-318,2018-06-06
6,Apache Storm:0.9.0.1 ,CNNVD-201710-1236,CVE-2014-0115,Apache Storm 目录遍历漏洞的修复措施 ,http://www.cnnvd.org.cn/web/xxk/bdxqById.tag?id=76024 ,Apache Storm 目录遍历漏洞,高危,Apache storm,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201710-1236,2017-11-02
7,Apache Storm:1.1 Apache Storm:1.0 Apache Storm:1.0.1 Apache Storm:1.0.2 Apache Storm:1.0.3 ,CNNVD-201706-920,CVE-2017-9799,,,Apache Storm 安全漏洞,中危,Apache storm,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201706-920,2017-08-15
8,Apache Storm:0.10.0:Beta ,CNNVD-201507-313,CVE-2015-3188,,,Apache Storm 安全漏洞,超危,Apache storm,http://www.cnnvd.org.cn/web/xxk/ldxqById.tag?CNNVD=CNNVD-201507-313,2017-01-16
